행정동코드,시도명,시군구명,읍면동명,시장명,도로명주소,Latitude,Longitude,지번,시군구2,청년몰명,500m 내 버스정류장 수
4817056500.0,경상남도,진주시,중앙동,진주중앙지하도,경상남도 진주시 진주대로 지하1035,35.1766317,128.0845778,경남 진주시 동성동 17,진주시,진주중앙지하도,7
5113051500.0,강원특별자치도,원주시,중앙동,원주중앙시장,강원 원주시 중앙시장길 2,37.3500757,127.9487717,중앙동 60-1,원주시,원주중앙시장,16
4122061000.0,경기도,평택시,통복동,통복시장,경기 평택시 통복시장로25번길 10,36.9978281,127.0850766,통복동 70-29,평택시,통복시장,17
4513060500.0,전라북도,군산시,중앙동,군산공설시장,전북 군산시 신금길 18 군산공설시장,35.9836228,126.7203785,신영동 18-1,군산시,군산공설시장,15
4111574000.0,경기도,수원시 팔달구,행궁동,영동시장,경기 수원시 팔달구 수원천로255번길 6,37.2771666,127.0186018,영동 8,수원시,영동시장,15
4313051500.0,충청북도,충주시,성내.충인동,관아골상가,충북 충주시 관아1길 14,36.9702468,127.9350043,성내동 428,충주시,관아골상가,19
4713055000.0,경상북도,경주시,성건동,북부상가시장,경북 경주시 금성로396번길 7,35.8535362,129.2075796,성건동 629-10,경주시,북부상가시장,8
4413151000.0,충청남도,천안시 동남구,중앙동,천안명동상점가,충남 천안시 동남구 은행길 5-4,36.8083587,127.1485267,대흥동 79-4,천안시,천안명동상점가,18
1141058500.0,서울특별시,서대문구,신촌동,이대앞상점가,서울 서대문구 이화여대길 52,37.5625607,126.9474535,대현동 33-9,서울시,이대앞상점가,5
4719025000.0,경상북도,구미시,선산읍,선산봉황시장,경북 구미시 선산읍 단계동길 24 선산시장,36.2397571,128.3011274,완전리 253,구미시,선산봉황시장,6
4511171100.0,전라북도,전주시 완산구,효자1동,서부시장상점가,전북 전주시 완산구 효동2길 18,35.8049305,127.126562,효자동1가 201-2,전주시,서부시장상점가,12
2771026500.0,대구광역시,달성군,현풍읍,현풍백년도깨비,대구 달성군 현풍읍 현풍로6길 5,35.6949205,128.440756,원교리 12-5,대구시,현풍백년도깨비,13
4613057000.0,전라남도,여수시,중앙동,여수중앙시장,전남 여수시 중앙로 43,34.7406346,127.7325583,교동 400-1,여수시,여수중앙시장,16
5111054500.0,강원특별자치도,춘천시,약사명동,육림고개상점가,강원도 춘천시 약사명동 25-3,37.8757251,127.7248692,강원 춘천시 죽림동 4-67,춘천시,육림고개상점가,18
4728057000.0,경상북도,문경시,점촌1동,문경중앙시장,경상북도 문경시 중앙로 87,36.5935526,128.1973616,경북 문경시 점촌동 197-22,문경시,문경중앙시장,8
4717058500.0,경상북도,안동시,서구동,안동중앙신시장,경상북도 안동시 중앙시장1길 54,36.5641726,128.7238848,옥야동 303-7,안동시,안동중앙신시장,19
4471025000.0,충청남도,금산군,금산읍,금산시장,충청남도 금산군 금산읍 건삼전길 11,36.1000101,127.4904417,하옥리 335-10,금산군,금산시장,0
5177025000.0,강원특별자치도,정선군,정선읍,정선아리랑시장,강원특별자치도 정선군 정선읍 5일장길 40,37.380553,128.6644012,봉양리 343-1,정선군,정선아리랑시장,0
2723063000.0,대구광역시,북구,산격3동,산격종합시장,대구광역시 북구 대동로1길 34,35.8982468,128.610707,산격동 1258,대구시,산격종합시장,14
4817056500.0,경상남도,진주시,중앙동,진주중앙시장,경상남도 진주시 진양호로 553,35.1940738,128.0855129,대안동 8-10,진주시,진주중앙시장,27
1123054500.0,서울특별시,동대문구,제기동,경동시장,서울특별시 동대문구 고산자로36길 3,37.5791626,127.039313,제기동 1019,서울시,경동시장,8
5123051000.0,강원특별자치도,삼척시,남양동,삼척중앙시장,강원특별자치도 삼척시 진주로 12-21,37.4421136,129.1652491,남양동 55-4,삼척시,삼척중앙시장,10
5177025600.0,강원특별자치도,정선군,사북읍,사북시장,강원특별자치도 정선군 사북읍 사북중앙로 17-2,37.227066,128.8167879,사북리 366-1,정선군,사북시장,0
4572025000.0,전라북도,진안군,진안읍,진안고원시장,전북특별자치도 진안군 진안읍 시장1길 16,35.7926019,127.4294567,군상리 406-7,진안군,진안고원시장,10
4571025000.0,전라북도,완주군,삼례읍,삼례시장,전북특별자치도 완주군 삼례읍 삼봉로 6,35.9106155,127.0735039,삼례리 923-8,완주군,삼례시장,2
4825051000.0,경상남도,김해시,동상동,김해동상시장,경상남도 김해시 구지로180번길 25,35.2361892,128.8832415,동상동 881-1,김해시,김해동상시장,21
3114052000.0,울산광역시,남구,신정2동,신정평화시장,울산광역시 남구 봉월로67번길 17,35.5383698,129.303545,신정동 1600-3,울산시,신정평화시장,21
5011053000.0,제주특별자치도,제주시,이도1동,중앙로상점가,제주특별자치도 제주시 중앙로 75,33.511505,126.5246049,이도일동 1411-1,제주시,중앙로상점가,20
4521051000.0,전라북도,김제시,요촌동,김제전통시장,전북특별자치도 김제시 요촌동 416-1,35.8014658,126.8836848,요촌동 423-2,김제시,김제전통시장,19
2711059500.0,대구광역시,중구,대신동,대구약령시장,대구광역시 중구 남성로 158-1,35.8681692,128.5894897,동성로3가 47,대구시,대구약령시장,18
4127155000.0,경기도,안산시 상록구,본오2동,신안코아전통시장,경기도 안산시 상록구 반석로 54,37.2951262,126.8650068,본오동 871,안산시,신안코아전통시장,19
5011051000.0,제주특별자치도,제주시,일도1동,동문공설시장,제주특별자치도 제주시 동문로4길 9,33.5122122,126.5282021,일도일동 1103,제주시,동문공설시장,23
4888025000.0,경상남도,거창군,거창읍,거창전통시장,경상남도 거창군 거창읍 중앙로 140,35.686971,127.9138338,중앙리 122-1,거창군,거창전통시장,21
4715053600.0,경상북도,김천시,평화남산동,김천평화시장,경상북도 김천시 김천로 100,36.1236952,128.1129188,평화동 259-1,김천시,김천평화시장,15
4127158000.0,경기도,안산시 상록구,월피동,다농마트전통시장,경기도 안산시 상록구 예술광장로 1,37.3283668,126.8440324,월피동 445,안산시,다농마트전통시장,20
4514052000.0,전라북도,익산시,중앙동,익산중앙시장,전라북도 익산시 중앙로3길 27,35.9418011,126.9501393,창인동1가 137-1,익산시,익산중앙시장,12
2611057000.0,부산광역시,중구,광복동,국제시장,부산광역시 중구 중구로 36,35.1011096,129.0281062,신창동4가 35-3,부산시,국제시장,40
2623052000.0,부산광역시,부산진구,부전제2동,서면시장,부산광역시 부산진구 서면로 56,35.1556251,129.0581407,부전동 256-6,부산시,서면시장,36
2811053000.0,인천광역시,중구,신포동,신포눈꽃마을,인천광역시 중구 우현로35번길 10,37.4706208,126.626611,신포동 19-2,인천시,신포눈꽃마을,24
3011051500.0,대전광역시,동구,중앙동,중앙메가프라자,대전광역시 동구 중앙로200번길 99,36.3267287,127.4339579,원동 42-1,대전시,중앙메가프라자,14
